frame_num,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
186,1.0,[2092.365873423002 1452.825351667376 2763.0878307971843 2019.6677232264394],[2308.82373046875 1803.33837890625 2559.9931640625 1896.308349609375],0.5768604874610901,AP05JEO,0.4354620861433912
189,1.0,[2091.099503521733 1474.7994445730915 2770.309332332331 2045.6388623544226],[2323.197021484375 1829.6513671875 2538.366943359375 1913.06982421875],0.5833922028541565,AP05JEO,0.42664652134695125
190,1.0,[2090.6111680124654 1479.2191750220725 2774.3533199692015 2051.736954861789],[2296.2919921875 1821.867919921875 2554.253173828125 1917.793212890625],0.26905447244644165,NP05JEO,0.21872239015811032
191,1.0,[2087.2143162586804 1487.6525840046886 2771.3516223998517 2061.5800641530795],[2322.211669921875 1836.20654296875 2552.0771484375 1933.87353515625],0.6087985038757324,AP05JEO,0.33767291999060306
193,1.0,[2089.9412868169416 1501.646165923788 2775.683374272007 2078.4037923995625],[2329.9306640625 1858.3524169921875 2564.45947265625 1942.3143310546875],0.4848812222480774,NP05JGO,0.3775031840364019
194,1.0,[2089.3047770620674 1506.1424040492877 2778.461955112453 2084.666862944975],[2338.355712890625 1871.190673828125 2577.9482421875 1958.0009765625],0.5912677049636841,NP05JEO,0.15776419172539471
196,1.0,[2094.3336896342016 1516.9425933533043 2784.441994352158 2097.5220824660205],[2333.275146484375 1875.5025634765625 2578.328857421875 1970.1153564453125],0.64821857213974,AP05JGQ,0.34622920894628817
208,1.0,[2101.430776972862 1591.5953606233127 2852.4932000647714 2158.1596987016906],[2363.828125 1977.6895751953125 2596.967529296875 2064.318115234375],0.6200013756752014,AP05XIO,0.05739763527092293
211,1.0,[2110.59802923825 1607.8402092235128 2865.1793780091875 2151.502147582671],[2387.4580078125 2005.7960205078125 2650.822998046875 2100.243896484375],0.6286717057228088,AP05JEO,0.21864963498034007
213,1.0,[2113.494441476266 1621.3352953337808 2869.155262696707 2156.3470964771195],[2382.071533203125 2019.2303466796875 2624.37451171875 2115.49169921875],0.6288542747497559,AP05JGQ,0.4871111519569112
215,1.0,[2112.316389139893 1635.0715396840253 2865.8862125680794 2159.586117908891],[2387.203857421875 2034.5247802734375 2647.953369140625 2133.19873046875],0.5370168089866638,AP05JEO,0.42730938827740517
249,299.0,[2308.1868482669597 1113.6624814278853 2858.800673219319 1548.1707127934778],[2530.19921875 1392.8526611328125 2658.337158203125 1468.3780517578125],0.37194448709487915,EV61MBC,0.1303599319200062
250,299.0,[2310.892531720614 1127.3142718886895 2867.763935245208 1581.9779541735868],[2529.98876953125 1392.929931640625 2660.7548828125 1469.61669921875],0.4767972230911255,EY61NDG,0.20988895777407507
272,299.0,[2332.4731055785073 1199.791333463117 2911.4385157695892 1713.6174216638192],[2560.731689453125 1476.1275634765625 2700.9765625 1564.848388671875],0.34980112314224243,EY61MBG,0.517232559555014
279,299.0,[2341.894804799997 1224.7764599306106 2936.665396664261 1746.108564637956],[2565.843994140625 1515.83935546875 2725.6708984375 1607.4517822265625],0.5263234376907349,ET61MEG,0.03433065468734355
281,299.0,[2343.0714462254427 1232.912788818071 2944.2762680747765 1755.395051154183],[2562.733642578125 1535.1697998046875 2724.064453125 1618.4901123046875],0.4651021361351013,EY61NEG,0.07414178076689015
320,299.0,[2384.6511121061058 1421.7419564323932 3060.5396791952508 2021.2595843116046],[2628.038818359375 1781.015625 2815.925537109375 1861.9119873046875],0.6249254941940308,EN61NNG,0.5069853432540465
321,299.0,[2385.4011485957117 1426.5056364332409 3063.252416524315 2029.567557770606],[2630.364501953125 1776.4486083984375 2819.82666015625 1861.9332275390625],0.6331783533096313,EN61NDG,0.17232155957087042
337,299.0,[2408.6990455119853 1523.6390641936352 3129.7774611184864 2147.153273175865],[2664.706787109375 1905.3780517578125 2863.503662109375 1988.3153076171875],0.6335250735282898,ET61NNC,0.20211118390193847
340,299.0,[2415.6323077099382 1531.7655037448526 3140.1615152977415 2148.620797566338],[2671.681640625 1924.5732421875 2872.5732421875 2013.0673828125],0.6912950277328491,ET61NAC,0.2303231599107956
344,299.0,[2424.4869337865125 1562.3135428356238 3156.8331198925903 2151.1498437600235],[2680.50537109375 1965.4031982421875 2884.9931640625 2052.03466796875],0.6945275664329529,EN61NAG,0.08267781753407073
349,299.0,[2434.834822500178 1599.2873594989014 3181.8146248795033 2155.3029913888286],[2691.276123046875 2010.3218994140625 2911.79052734375 2101.146484375],0.7096565365791321,LT71NHL,0.0434754831971554
